victim_date,role,victim,age
2016-01-01,CONDUCTOR,MOTO,19
2016-01-02,CONDUCTOR,AUTO,70
2016-01-03,CONDUCTOR,MOTO,30
2016-01-10,CONDUCTOR,MOTO,18
2016-01-21,CONDUCTOR,MOTO,29
2016-01-24,CONDUCTOR,MOTO,30
2016-01-24,PASAJERO_ACOMPAÑANTE,MOTO,29
2016-01-29,CONDUCTOR,MOTO,18
2016-02-08,CONDUCTOR,MOTO,22
2016-02-10,PEATON,PEATON,16
2016-02-14,PEATON,PEATON,16
2016-02-14,PASAJERO_ACOMPAÑANTE,MOTO,19
2016-02-15,PEATON,PEATON,59
2016-02-17,PEATON,PEATON,65
2016-02-17,PEATON,PEATON,59
2016-02-17,CONDUCTOR,AUTO,34
2016-02-21,PASAJERO_ACOMPAÑANTE,MOTO,41
2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,34
2016-02-28,CONDUCTOR,AUTO,30
2016-02-28,PASAJERO_ACOMPAÑANTE,AUTO,34
2016-03-02,PEATON,PEATON,50
2016-03-04,PEATON,PEATON,38
2016-03-08,CONDUCTOR,MOTO,21
2016-03-12,PEATON,PEATON,52
2016-03-13,CONDUCTOR,MOTO,34
2016-03-14,PASAJERO_ACOMPAÑANTE,MOTO,36
2016-03-19,CONDUCTOR,MOTO,20
2016-03-21,PEATON,PEATON,29
2016-03-23,CONDUCTOR,MOTO,20
2016-03-29,CONDUCTOR,MOTO,54
2016-03-29,PASAJERO_ACOMPAÑANTE,MOTO,-1
2016-03-30,PEATON,PEATON,56
2016-03-31,CONDUCTOR,MOTO,24
2016-04-11,CONDUCTOR,MOTO,-1
2016-04-15,PEATON,PEATON,41
2016-04-15,PEATON,PEATON,-1
2016-04-19,PEATON,PEATON,78
2016-04-20,CONDUCTOR,MOTO,36
2016-04-22,PEATON,PEATON,38
2016-04-23,CONDUCTOR,MOTO,30
2016-04-25,PEATON,PEATON,79
2016-04-26,CONDUCTOR,MOTO,26
2016-05-04,PEATON,PEATON,57
2016-05-08,PEATON,PEATON,37
2016-05-14,PEATON,PEATON,20
2016-05-20,PEATON,PEATON,20
2016-05-21,PASAJERO_ACOMPAÑANTE,MOTO,30
2016-05-22,CONDUCTOR,MOTO,58
2016-05-23,CONDUCTOR,AUTO,30
2016-06-11,CONDUCTOR,MOTO,23
2016-06-12,CONDUCTOR,AUTO,60
2016-06-12,PEATON,PEATON,42
2016-06-13,PEATON,PEATON,53
2016-06-13,PEATON,PEATON,-1
2016-06-13,CONDUCTOR,MOTO,30
2016-06-16,CONDUCTOR,AUTO,51
2016-06-18,CONDUCTOR,AUTO,60
2016-06-22,CONDUCTOR,MOTO,40
2016-06-27,PEATON,PEATON,87
2016-06-28,PEATON,PEATON,76
2016-06-29,PEATON,PEATON,57
2016-06-30,PEATON,PEATON,75
