n_victimas,fact_date,fact_time,comuna,street_type,alt_dir,street_name,cross_name,victim,accused,bike,car,pub_transp,bus,cyclist,severity
1,2019-01-04 00:00:00,14:50:00,No Especificada,SD,SD,,,MOTO,SD,x,SD,SD,SD,SD,SD
1,2019-01-05 00:00:00,09:30:00,No Especificada,SD,SD,,,CICLISTA,SD,SD,SD,SD,SD,x,SD
2,2019-01-06 00:00:00,22:20:00,No Especificada,SD,SD,,,AUTO,SD,SD,x,SD,SD,SD,SD
1,2019-01-07 00:00:00,03:50:00,No Especificada,SD,SD,,,PEATON,SD,SD,SD,SD,SD,SD,SD
1,2019-01-09 00:00:00,11:55:00,No Especificada,SD,SD,,,SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-11 00:00:00,12:10:00,No Especificada,SD,SD,,,SD,SD,SD,SD,x,SD,SD,SD
1,2019-01-11 00:00:00,09:20:00,,SD,SD,"PAZ, GRAL. AV.","ACHA, MARIANO, GRAL.",SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-11 00:00:00,16:58:00,,SD,SD,DEL LIBERTADOR AV.,,SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-12 00:00:00,06:45:00,,SD,SD,TRONADOR,GIRIBONE,SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-13 00:00:00,02:20:00,,SD,SD,PASEO COLON AV.,MEXICO,SD,SD,SD,SD,SD,SD,SD,GRAVE
1,2019-01-17 00:00:00,09:15:00,No Especificada,SD,SD,,,AUTO,SD,SD,x,SD,SD,SD,SD
4,2019-01-17 00:00:00,10:58:00,No Especificada,SD,SD,,,CAMIONETA,SD,SD,SD,SD,SD,SD,SD
1,2019-01-17 00:00:00,02:45:00,,SD,SD,"LACROZE, FEDERICO","CAMPOS, LUIS M. AV.",SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-18 00:00:00,08:21:00,No Especificada,SD,SD,,,SD,SD,SD,SD,SD,SD,SD,SD
2,2019-01-18 00:00:00,14:45:00,No Especificada,SD,SD,,,MOTO,SD,x,SD,SD,SD,SD,SD
1,2019-01-18 00:00:00,18:00:00,No Especificada,SD,SD,,,SD,SD,SD,SD,SD,SD,SD,SD
