comuna,pop_2021,pop_2020,pop_2019,pop_2018,pop_2017,pop_2016
0,3078836,3075646,3072029,3068043,3063728,3059122
1,257235,256405,255457,254408,253271,252053
2,149371,149430,149510,149607,149720,149848
3,193425,193276,193115,192945,192763,192573
4,240437,240100,239712,239279,238809,238303
5,187670,187518,187348,187159,186956,186740
6,185620,185456,185271,185067,184846,184611
7,242188,241861,241484,241065,240607,240116
8,229541,228953,228266,227495,226649,225737
9,171444,171264,171062,170842,170605,170353
10,170677,170592,170497,170394,170282,170163
11,190105,190076,190046,190016,189986,189956
12,215002,214777,214518,214229,213914,213576
13,236468,236358,236238,236107,235967,235819
14,227168,227115,227060,227003,226944,226884
