victim_amount,fact_date,fact_time,street_type,street_name,cross_name,comuna,victim,accused
1,2016-01-01,04:00:00,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,MOTO,AUTO
1,2016-01-02,01:15:00,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,AUTO,PASAJEROS
1,2016-01-03,07:00:00,AVENIDA,ENTRE RIOS AV.,,1,MOTO,AUTO
1,2016-01-10,00:00:00,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.",8,MOTO,SD
1,2016-01-21,05:20:00,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.",1,MOTO,PASAJEROS
1,2016-01-24,18:30:00,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,MOTO,OBJETO FIJO
1,2016-01-24,19:10:00,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.",11,MOTO,AUTO
1,2016-01-29,15:20:00,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,MOTO,AUTO
1,2016-02-08,01:20:00,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE",1,MOTO,CARGAS
1,2016-02-10,11:30:00,AVENIDA,ENTRE RIOS AV.,,1,PEATON,AUTO
1,2016-02-14,05:14:00,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,15,PEATON,AUTO
1,2016-02-14,22:00:00,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO",4,MOTO,AUTO
1,2016-02-15,16:54:00,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA",8,PEATON,MOTO
1,2016-02-17,09:30:00,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,PEATON,PASAJEROS
1,2016-02-17,16:00:00,CALLE,SUIPACHA,,1,PEATON,AUTO
1,2016-02-17,23:35:00,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,7,AUTO,AUTO
1,2016-02-21,06:00:00,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO",1,MOTO,AUTO
1,2016-02-28,04:50:00,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,8,AUTO,AUTO
1,2016-02-28,07:30:00,CALLE,HOLMBERG,VEDIA,12,AUTO,OBJETO FIJO
1,2016-02-28,09:35:00,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO",7,AUTO,AUTO
1,2016-03-02,10:00:00,AVENIDA,VIAMONTE,9 DE JULIO AV.,1,PEATON,CARGAS
1,2016-03-04,17:30:00,AVENIDA,CABILDO AV.,DEHEZA,12,PEATON,PASAJEROS
1,2016-03-08,12:30:00,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.",8,MOTO,PASAJEROS
1,2016-03-12,12:30:00,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO",4,PEATON,PASAJEROS
1,2016-03-13,06:00:00,AVENIDA,CORRIENTES AV.,CALLAO AV.,3,MOTO,PASAJEROS
1,2016-03-14,00:15:00,CALLE,HERRERA,"VALLE, ARISTOBULO DEL",4,MOTO,PASAJEROS
1,2016-03-19,11:00:00,AVENIDA,LAFUENTE AV.,QUIRNO,7,MOTO,MOTO
1,2016-03-21,08:06:00,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,8,PEATON,PASAJEROS
1,2016-03-23,01:50:00,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,3,MOTO,PASAJEROS
2,2016-03-29,11:00:00,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,7,MOTO,CARGAS
1,2016-03-30,18:15:00,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,8,PEATON,CARGAS
1,2016-03-31,19:40:00,AVENIDA,"MORENO, JOSE MARIA AV.",BALBASTRO,7,MOTO,MULTIPLE
1,2016-04-11,10:25:00,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,13,MOTO,SD
1,2016-04-15,05:30:00,CALLE,LIMA,,1,PEATON,PASAJEROS
1,2016-04-15,17:40:00,AVENIDA,CORRIENTES AV.,DORREGO AV.,15,PEATON,PASAJEROS
1,2016-04-17,00:00:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,4,SD,SD
1,2016-04-19,09:50:00,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,PEATON,PASAJEROS
1,2016-04-20,04:00:00,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO",4,MOTO,CARGAS
1,2016-04-20,20:00:00,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,13,MOTO,SD
1,2016-04-22,09:30:00,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,12,PEATON,PASAJEROS
1,2016-04-23,21:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.",8,MOTO,MOTO
1,2016-04-25,20:30:00,AVENIDA,"CASTILLA, RAMON, MARISCAL","FIGUEROA ALCORTA, PRES. AV.",14,PEATON,CARGAS
1,2016-04-26,04:45:00,AVENIDA,"CAMPOS, LUIS M. AV.",,14,MOTO,OBJETO FIJO
1,2016-05-04,14:00:00,CALLE,LIMA,,1,PEATON,MOTO
1,2016-05-08,16:30:00,CALLE,CIUDADELA,LIMA,1,PEATON,PASAJEROS
1,2016-05-14,18:11:00,AVENIDA,"JUSTO, JUAN B. AV.",CARRASCO AV.,10,PEATON,PASAJEROS
1,2016-05-20,14:40:00,AVENIDA,GAONA AV.,ESPINOSA,6,PEATON,AUTO
1,2016-05-21,17:00:00,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,8,MOTO,PASAJEROS
1,2016-05-22,22:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",PUEYRREDON AV.,2,MOTO,PASAJEROS
1,2016-05-23,03:30:00,AVENIDA,ENTRE RIOS AV.,FILIBERTO,3,AUTO,CARGAS
1,2016-06-11,15:00:00,CALLE,"MAGARI?OS CERVANTES, A.",,10,MOTO,CARGAS
1,2016-06-12,06:40:00,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO",8,AUTO,AUTO
1,2016-06-12,23:13:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,8,PEATON,AUTO
1,2016-06-13,16:20:00,AVENIDA,SAN MARTIN AV.,CAMARONES,15,PEATON,PASAJEROS
1,2016-06-13,21:52:00,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","ALEM, LEANDRO N. AV.",1,PEATON,PASAJEROS
1,2016-06-13,23:01:00,AVENIDA,BELGRANO AV.,JUJUY AV.,3,MOTO,MOTO
1,2016-06-16,17:13:00,AVENIDA,DEL LIBERTADOR AV.,"UDAONDO, GUILLERMO AV.",13,AUTO,AUTO
1,2016-06-18,06:42:00,GRAL PAZ,"PAZ, GRAL. AV.",RIVADAVIA AV.,9,AUTO,SD
1,2016-06-22,07:42:00,AVENIDA,"LARRALDE, CRISOLOGO AV.",MACHAIN,12,MOTO,AUTO
1,2016-06-27,18:24:00,AVENIDA,LA PLATA AV.,,4,PEATON,AUTO
1,2016-06-28,20:46:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",PUAN,6,PEATON,MOTO
1,2016-06-29,22:00:00,CALLE,"PELLEGRINI, CARLOS",TUCUMAN,1,PEATON,PASAJEROS
1,2016-06-29,22:00:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",EREZCANO,4,MOTO,OTRO
1,2016-06-30,16:10:00,AVENIDA,OLIVERA AV.,"FALCON, RAMON L.,CNEL.",10,PEATON,PASAJEROS
1,2016-07-02,00:10:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,1,MOTO,OBJETO FIJO
1,2016-07-11,15:30:00,CALLE,CERETTI,NU?EZ,12,PEATON,AUTO
1,2016-07-14,06:40:00,AUTOPISTA,"LUGONES, LEOPOLDO AV.",LA PAMPA,13,PEATON,AUTO
1,2016-07-14,22:00:00,AVENIDA,"SALGUERO, JERONIMO",RIVADAVIA AV.,5,PEATON,PASAJEROS
1,2016-07-15,11:00:00,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,13,MOTO,CARGAS
1,2016-07-17,03:30:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","MITRE, EMILIO",6,AUTO,AUTO
1,2016-07-23,06:12:00,AVENIDA,MERCEDES,MOSCONI GENERAL AV.,11,MOTO,AUTO
1,2016-07-25,07:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,,8,MOTO,CARGAS
1,2016-07-26,18:45:00,CALLE,SOLIS,MEXICO,1,PEATON,AUTO
1,2016-07-27,16:08:00,AVENIDA,SAN JUAN AV.,ALBERTI,3,MOTO,CARGAS
1,2016-07-29,16:00:00,GRAL PAZ,MOSCONI GENERAL AV.,"PAZ, GRAL. AV.",11,CARGAS,CARGAS
1,2016-08-03,23:27:00,GRAL PAZ,"PAZ, GRAL. AV.",DONADO,12,MOTO,OBJETO FIJO
1,2016-08-07,19:42:00,GRAL PAZ,"PAZ, GRAL. AV.","CHAVEZ, JORGE",9,SD,SD
1,2016-08-10,23:37:00,AVENIDA,"PERON, EVA AV.","SUAREZ, JOSE LEON",9,MOTO,CARGAS
1,2016-08-14,21:15:00,AVENIDA,ZINNY,SANTIAGO DE COMPOSTELA AV.,9,MOTO,PASAJEROS
1,2016-08-17,00:05:00,AVENIDA,"LACROZE, FEDERICO AV.",FRAGA,15,PEATON,PASAJEROS
1,2016-08-19,21:02:00,AVENIDA,"PELLEGRINI, CARLOS",DEL LIBERTADOR AV.,1,PEATON,PASAJEROS
1,2016-08-20,08:22:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,4,MOTO,AUTO
1,2016-08-24,05:45:00,AUTOPISTA,AUTOPISTA PERITO MORENO,BARRAGAN,9,AUTO,OBJETO FIJO
1,2016-08-24,20:21:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CARHUE,9,PEATON,SD
1,2016-08-25,09:30:00,AUTOPISTA,LUGONES,LA PAMPA,15,MOTO,CARGAS
1,2016-08-27,04:40:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,MOTO,OBJETO FIJO
1,2016-08-27,16:45:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",GUARDIA NACIONAL,9,PEATON,PASAJEROS
1,2016-08-31,11:20:00,CALLE,"SALGUERO, JERONIMO",,14,BICICLETA,CARGAS
1,2016-09-02,11:50:00,CALLE,ARIAS,TRONADOR,12,SD,CARGAS
1,2016-09-02,20:20:00,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,MOTO,AUTO
1,2016-09-03,15:30:00,AVENIDA,DEL LIBERTADOR AV.,TAGLE,14,AUTO,AUTO
1,2016-09-04,03:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,1,AUTO,AUTO
1,2016-09-04,06:40:00,AVENIDA,"LARRALDE, CRISOLOGO AV.",TRIUNVIRATO AV.,12,SD,SD
1,2016-09-13,07:10:00,AVENIDA,"PERON, EVA AV.",,9,BICICLETA,PASAJEROS
1,2016-09-14,09:00:00,AVENIDA,ASAMBLEA AV.,"BONORINO, ESTEBAN, CNEL. AV.",7,MOTO,AUTO
1,2016-09-16,15:24:00,AVENIDA,RIVADAVIA AV.,RIVERA INDARTE AV.,7,PEATON,PASAJEROS
1,2016-09-17,12:14:00,AUTOPISTA,AUTOPISTA PERITO MORENO,"ALBERDI, JUAN BAUTISTA AV.",10,MOTO,MOTO
2,2016-09-18,22:45:00,CALLE,IRIGOYEN,TINOGASTA,10,AUTO,CARGAS
1,2016-09-24,10:25:00,AVENIDA,"ACOSTA, MARIANO","ROCA, CNEL. AV.",8,PEATON,PASAJEROS
1,2016-10-02,11:30:00,AVENIDA,CASTRO,PAVON AV.,5,PEATON,PASAJEROS
1,2016-10-04,12:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,1,MOTO,CARGAS
1,2016-10-09,19:13:00,CALLE,MIRAVE,,4,PEATON,AUTO
1,2016-10-10,02:30:00,AVENIDA,SAN JUAN AV.,24 DE NOVIEMBRE,3,AUTO,PASAJEROS
1,2016-10-14,00:05:00,AVENIDA,LAS HERAS GENERAL AV.,SANCHEZ DE BUSTAMANTE,14,MOTO,AUTO
1,2016-10-23,05:00:00,AVENIDA,PIEDRA BUENA AV.,2 DE ABRIL DE 1982,8,MOTO,OBJETO FIJO
1,2016-10-24,05:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","PINEDO, INT.",14,PEATON,SD
1,2016-10-25,00:00:00,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,,4,MOTO,CARGAS
1,2016-10-25,00:39:00,AVENIDA,SAN MARTIN AV.,LADINES,11,MOTO,MOTO
1,2016-10-27,20:30:00,AVENIDA,CABILDO AV.,BLANCO ENCALADA,13,BICICLETA,CARGAS
1,2016-10-28,23:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",DORREGO AV.,14,MOTO,MOTO
1,2016-10-31,02:58:00,AVENIDA,JURAMENTO AV.,VUELTA DE OBLIGADO,13,PASAJEROS,PASAJEROS
1,2016-11-05,23:30:00,AVENIDA,DEL LIBERTADOR AV.,"RAMOS MEJIA, JOSE MARIA, DR. AV.",1,MOTO,PASAJEROS
1,2016-11-06,04:41:00,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,MOTO,SD
1,2016-11-07,12:10:00,AVENIDA,"BROWN, ALTE. AV.",,4,PEATON,PASAJEROS
1,2016-11-07,20:56:00,AVENIDA,DEL LIBERTADOR AV.,LA PAMPA,13,MOTO,AUTO
1,2016-11-09,20:00:00,AVENIDA,PICHINCHA AV.,BRASIL,4,PEATON,PASAJEROS
1,2016-11-16,21:15:00,AVENIDA,INDEPENDENCIA AV.,"CEVALLOS, VIRREY",1,MOVIL,PASAJEROS
1,2016-11-16,22:20:00,AVENIDA,GARMENDIA AV.,,15,MOTO,MOTO
1,2016-11-18,18:20:00,AVENIDA,"ALCORTA, AMANCIO AV.","TABORDA, DIOGENES",4,CARGAS,CARGAS
1,2016-11-18,20:35:00,CALLE,,,0,PEATON,SD
1,2016-11-23,21:10:00,AVENIDA,"MORENO, PERITO AV.",ZUVIRIA,7,MOTO,AUTO
1,2016-11-25,15:42:00,AVENIDA,ARAOZ,CORDOBA AV.,15,PEATON,MOTO
1,2016-11-26,14:14:00,GRAL PAZ,"PAZ, GRAL. AV.",,8,MOTO,MOTO
1,2016-11-26,16:50:00,CALLE,MADERO,,10,PEATON,AUTO
1,2016-11-26,19:40:00,AVENIDA,INDEPENDENCIA AV.,DEAN FUNES,3,MOTO,PASAJEROS
1,2016-12-03,06:40:00,AVENIDA,"JUSTO, JUAN B. AV.",,11,MOTO,MOTO
1,2016-12-04,07:21:00,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,AUTO,SD
1,2016-12-06,05:30:00,AUTOPISTA,AUTOPISTA PERITO MORENO,,9,CARGAS,OBJETO FIJO
1,2016-12-06,07:22:00,AVENIDA,SANTA FE AV.,GODOY CRUZ,14,PEATON,PASAJEROS
1,2016-12-07,05:00:00,AVENIDA,"LACROZE, FEDERICO AV.",FOREST AV.,15,PEATON,AUTO
1,2016-12-10,07:30:00,GRAL PAZ,"PAZ, GRAL. AV.",MOSCONI GENERAL AV.,11,MOTO,AUTO
1,2016-12-11,06:16:00,AVENIDA,LA PLATA AV.,"POMAR, GREGORIO TTE. CNEL.",4,AUTO,AUTO
1,2016-12-12,08:25:00,AVENIDA,"GARCIA, MARTIN AV.",,4,BICICLETA,PASAJEROS
1,2016-12-13,10:40:00,AVENIDA,LA PLATA AV.,"POMAR, GREGORIO TTE. CNEL.",4,MOTO,AUTO
1,2016-12-15,15:30:00,AVENIDA,NU?EZ,"BALBIN, RICARDO, DR. AV.",12,MOTO,PASAJEROS
1,2016-12-19,17:10:00,GRAL PAZ,"PAZ, GRAL. AV.",,12,MOTO,AUTO
1,2016-12-25,19:00:00,AUTOPISTA,"HUERGO, ING. AV.",AUTOPISTA 25 DE MAYO,1,MOTO,MOTO
1,2016-12-26,08:00:00,AVENIDA,"GARAY, JUAN DE AV.",CASTRO,5,MOTO,CARGAS
1,2016-12-26,19:52:00,AVENIDA,DIRECTORIO AV.,SAN PEDRITO AV.,7,MOTO,CARGAS
1,2016-12-27,00:00:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,,0,SD,SD
1,2016-12-27,08:15:00,CALLE,"FALCON, RAMON L.,CNEL.",MEMBRILLAR,7,PEATON,BICICLETA
1,2016-12-28,01:41:00,AVENIDA,BELGRANO AV.,PASEO COLON AV.,1,MOTO,PASAJEROS
1,2016-12-29,04:00:00,CALLE,ARENALES,,14,PEATON,AUTO
1,2016-12-30,16:18:00,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,SAAVEDRA,3,PEATON,MULTIPLE
1,2017-01-02,01:00:00,AVENIDA,"JUSTO, JUAN B. AV.",ACHUPALLAS,11,MOTO,CARGAS
1,2017-01-05,03:10:00,AVENIDA,OLAVARRIA,VELEZ SARSFIELD AV.,4,CARGAS,CARGAS
1,2017-01-11,17:00:00,CALLE,LIMA,MEXICO,1,PEATON,MULTIPLE
1,2017-01-16,00:40:00,CALLE,"CABRERA, JOSE A.",BONPLAND,14,MOTO,PASAJEROS
1,2017-01-16,13:56:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,,5,MOTO,CARGAS
1,2017-01-16,16:30:00,AVENIDA,DIRECTORIO AV.,RIGLOS,6,MOTO,AUTO
1,2017-01-22,02:30:00,GRAL PAZ,"PAZ, GRAL. AV.","BALBIN, RICARDO, DR. AV.",12,MOTO,OBJETO FIJO
1,2017-01-24,14:00:00,CALLE,TRAFUL,"TABORDA, DIOGENES",4,MOTO,CARGAS
1,2017-01-27,07:00:00,AVENIDA,"IRIARTE, GRAL. AV.",,4,PEATON,CARGAS
1,2017-01-28,08:27:34,AVENIDA,DONADO,ARIAS,12,MOTO,MULTIPLE
1,2017-02-02,15:18:03,AVENIDA,CORDOBA AV.,CALLAO AV.,2,PEATON,AUTO
1,2017-02-03,05:12:21,AUTOPISTA,AUTOPISTA 25 DE MAYO,,1,MOTO,CARGAS
1,2017-02-06,08:00:00,AVENIDA,"JUSTO, JUAN B. AV.",PARAGUAY,14,MOTO,AUTO
1,2017-02-09,07:00:00,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,9,MOTO,AUTO
1,2017-02-18,05:30:00,CALLE,SARMIENTO,LIBERTAD,1,MOTO,PASAJEROS
1,2017-02-23,20:50:00,AVENIDA,RIVADAVIA AV.,,7,PEATON,PASAJEROS
1,2017-02-24,17:05:00,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",RIVERA INDARTE AV.,7,MOTO,SD
2,2017-02-26,05:15:00,AVENIDA,"MORENO, PERITO AV.",FOURNIER,4,AUTO,OBJETO FIJO
