victim_date,vehicle,age,severity
2019-01-01,sd,57,SD
2019-01-01,sd,SD,SD
2019-01-01,sd,SD,SD
2019-01-01,sd,45,SD
2019-01-01,sd,45,SD
2019-01-01,sd,27,SD
2019-01-01,sd,32,SD
2019-01-01,sd,21,SD
2019-01-01,sd,21,SD
2019-01-01,sd,37,SD
2019-01-01,sd,SD,SD
2019-01-01,sd,33,SD
2019-01-01,sd,25,SD
2019-01-01,sd,23,SD
2019-01-01,sd,SD,SD
2019-01-01,sd,42,SD
2019-01-01,sd,42,SD
2019-01-01,sd,37,SD
2019-01-01,sd,53,SD
2019-01-01,sd,1,SD
2019-01-01,sd,62,SD
2019-01-01,sd,SD,SD
2019-01-01,sd,67,SD
2019-01-01,sd,75,SD
2019-01-02,sd,40,SD
2019-01-02,sd,48,SD
2019-01-02,sd,48,SD
2019-01-02,sd,27,SD
2019-01-02,sd,3,SD
2019-01-02,sd,33,SD
2019-01-02,sd,49,SD
2019-01-02,sd,SD,SD
2019-01-02,sd,SD,SD
2019-09-01,sd,25,SD
2019-01-02,sd,34,SD
2019-01-02,sd,27,SD
2019-01-02,sd,34,SD
2019-01-02,sd,52,SD
2019-01-02,sd,44,SD
2019-01-02,sd,28,SD
2019-01-02,sd,28,SD
2019-01-02,sd,SD,SD
2019-01-02,sd,59,SD
2019-01-02,sd,50,SD
2019-01-02,sd,73,SD
2019-01-03,sd,45,SD
2019-12-24,sd,26,SD
2019-01-13,sd,32,SD
2019-01-03,sd,51,SD
2019-01-03,sd,48,SD
2019-01-03,sd,37,SD
2019-01-03,sd,37,SD
2019-01-03,sd,SD,SD
2019-01-03,sd,16,SD
2019-01-03,sd,43,SD
2019-01-03,sd,38,SD
2019-01-03,sd,38,SD
2019-01-03,sd,SD,SD
2019-01-03,sd,SD,SD
2019-01-03,sd,SD,SD
2019-01-03,sd,28,SD
2019-01-03,sd,45,SD
2019-01-03,sd,51,SD
2019-01-03,sd,33,SD
2019-01-03,sd,43,SD
2019-01-03,sd,64,SD
2019-01-03,sd,36,SD
2019-01-03,sd,36,SD
2019-01-03,sd,45,SD
2019-01-03,sd,SD,SD
2019-01-03,sd,84,SD
2019-01-03,sd,22,SD
2019-01-03,sd,26,SD
2019-10-19,sd,32,SD
2019-01-04,sd,20,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,38,SD
2019-01-04,sd,37,SD
2019-01-04,sd,37,SD
2019-01-04,sd,48,SD
2019-01-04,sd,5,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,34,SD
2019-01-04,sd,39,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,28,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,23,SD
2019-01-04,sd,34,SD
2019-01-04,sd,56,SD
2019-01-04,sd,44,SD
2019-01-04,sd,26,SD
2019-01-04,sd,69,SD
2019-01-04,sd,69,SD
2019-01-04,sd,26,SD
2019-01-04,sd,26,SD
2019-01-04,sd,55,SD
2019-01-04,sd,46,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,34,SD
2019-01-04,sd,29,SD
2019-01-04,sd,34,SD
2019-01-04,sd,SD,SD
2019-01-04,sd,34,SD
2019-01-04,sd,26,SD
2019-01-04,sd,38,SD
2019-01-04,sd,53,SD
2019-01-04,sd,23,SD
2019-01-04,sd,28,SD
2019-01-04,sd,41,SD
2019-05-20,sd,56,SD
2019-01-05,sd,43,SD
2019-01-05,sd,67,SD
2019-01-05,sd,67,SD
2019-01-05,sd,40,SD
2019-01-05,sd,33,SD
2019-01-05,sd,SD,SD
2019-01-05,sd,29,SD
2019-01-05,sd,54,SD
2019-01-05,sd,51,SD
2019-01-05,sd,33,SD
2019-01-05,sd,42,SD
2019-01-05,sd,74,SD
2019-01-05,sd,70,SD
2019-01-05,sd,40,SD
2019-01-05,sd,6,SD
2019-01-05,sd,30,SD
2019-01-13,sd,SD,SD
2019-01-05,sd,28,SD
2019-01-05,sd,12,SD
2019-01-05,sd,83,SD
2019-01-05,sd,27,SD
2019-01-06,sd,24,SD
2019-01-06,sd,27,SD
2019-01-06,sd,35,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,12,SD
2019-01-06,sd,44,SD
2019-01-06,sd,44,SD
2019-01-07,sd,70,SD
2019-01-07,sd,29,SD
2019-01-07,sd,64,SD
2019-01-07,sd,27,SD
2019-01-07,sd,68,SD
2019-03-13,sd,49,SD
2019-01-07,sd,21,SD
2019-03-13,sd,SD,SD
2019-01-07,sd,15,SD
2019-01-07,sd,22,SD
2019-01-07,sd,22,SD
2019-01-07,sd,22,SD
2019-01-07,sd,74,SD
2019-01-07,sd,38,SD
2019-01-07,sd,34,SD
2019-02-08,sd,31,SD
2019-01-07,sd,19,SD
2019-01-07,sd,27,SD
2019-01-07,sd,45,SD
2019-07-26,sd,30,SD
2019-01-07,sd,30,SD
2019-01-07,sd,9,SD
2019-01-07,sd,9,SD
2019-01-07,sd,49,SD
2019-01-07,sd,39,SD
2019-01-07,sd,75,SD
2019-01-07,sd,35,SD
2019-01-07,sd,35,SD
2019-01-07,sd,2,SD
2019-01-07,sd,26,SD
2019-01-07,sd,13,SD
2019-01-07,sd,13,SD
2019-01-07,sd,6,SD
2019-01-07,sd,75,SD
2019-01-08,sd,39,SD
2019-01-08,sd,22,SD
2019-01-08,sd,29,SD
2019-01-08,sd,9,SD
2019-01-08,sd,32,SD
2019-01-08,sd,42,SD
2019-01-08,sd,83,SD
2019-01-08,sd,62,SD
2019-01-08,sd,62,SD
2019-01-08,sd,18,SD
2019-01-08,sd,18,SD
